Time,gps_header.seq,gps_header.stamp.secs,gps_header.stamp.nsecs,gps_header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,grid
1663939634.258914,0,48434,0,GPS1_Frame,42.313136666666665,-71.09727500000001,49.7,327159.14808800677,4686674.403484889,19,T
1663939635.257749,0,48435,0,GPS1_Frame,42.31314333333333,-71.09728666666666,49.7,327158.20482234436,4686675.167468885,19,T
1663939636.2377028,0,48436,0,GPS1_Frame,42.31314999999999,-71.09729666666667,49.7,327157.3989162167,4686675.928066731,19,T
1663939637.236743,0,48437,0,GPS1_Frame,42.313156666666664,-71.09730833333333,49.7,327156.45565094973,4686676.692050977,19,T
1663939638.236513,0,48438,0,GPS1_Frame,42.31316666666667,-71.09732000000001,49.9,327155.5215109574,4686677.826175454,19,T
1663939639.2380219,0,48439,0,GPS1_Frame,42.31317666666667,-71.09733,50.1,327154.7247305467,4686678.956913731,19,T
1663939640.2367027,0,48440,0,GPS1_Frame,42.31318666666666,-71.09734,50.1,327153.9279503999,4686680.087652104,19,T
1663939641.2366664,0,48441,0,GPS1_Frame,42.31319666666666,-71.09735,50.3,327153.13117051934,4686681.21839058,19,T
1663939642.2363453,0,48442,0,GPS1_Frame,42.31320666666667,-71.09736,50.3,327152.3343909069,4686682.349129154,19,T
1663939643.2372897,0,48443,0,GPS1_Frame,42.31321833333333,-71.09737166666667,50.2,327151.4048150274,4686683.668324285,19,T
1663939644.238201,0,48444,0,GPS1_Frame,42.313228333333335,-71.09738333333333,50.2,327150.4706768336,4686684.802449501,19,T
1663939645.2376888,0,48445,0,GPS1_Frame,42.313235,-71.097395,50.1,327149.527413536,4686685.566434745,19,T
1663939646.2377057,0,48446,0,GPS1_Frame,42.31324166666666,-71.09740833333333,49.9,327148.4467913185,4686686.333806586,19,T
1663939647.2373192,0,48447,0,GPS1_Frame,42.313246666666664,-71.09742,49.7,327147.49896568735,4686686.912722064,19,T
1663939648.2370844,0,48448,0,GPS1_Frame,42.31325166666667,-71.09743,49.3,327146.6884993168,4686687.488251174,19,T
1663939649.2380362,0,48449,0,GPS1_Frame,42.31325666666667,-71.09744166666665,49.1,327145.740673983,4686688.067166899,19,T
1663939650.2379763,0,48450,0,GPS1_Frame,42.31326000000001,-71.09745500000001,49.0,327144.65092687507,4686688.464399242,19,T
1663939651.259285,0,48451,0,GPS1_Frame,42.313265,-71.09746833333334,48.8,327143.5657427495,4686689.046701813,19,T
1663939652.2366636,0,48452,0,GPS1_Frame,42.313271666666665,-71.09748166666667,48.8,327142.48512169905,4686689.814074612,19,T
1663939653.2369533,0,48453,0,GPS1_Frame,42.31327833333333,-71.09749333333333,48.8,327141.54185993015,4686690.57806098,19,T
1663939654.232822,0,48454,0,GPS1_Frame,42.31328499999999,-71.09750166666666,48.7,327140.87331643933,4686691.3352742465,19,T
1663939655.2379763,0,48455,0,GPS1_Frame,42.313291666666665,-71.09751166666666,48.9,327140.0674140726,4686692.095874213,19,T
1663939656.2560132,0,48456,0,GPS1_Frame,42.31329666666667,-71.09752499999999,48.8,327138.98223087774,4686692.678177523,19,T
1663939657.256529,0,48457,0,GPS1_Frame,42.31330333333334,-71.09753666666667,48.6,327138.03896987165,4686693.4421643885,19,T
1663939658.2560215,0,48458,0,GPS1_Frame,42.31331,-71.09754833333334,48.5,327137.09570907254,4686694.20615139,19,T
1663939659.236747,0,48459,0,GPS1_Frame,42.313314999999996,-71.09756166666666,48.4,327136.01052643685,4686694.78845518,19,T
1663939660.2366445,0,48460,0,GPS1_Frame,42.31332166666666,-71.097575,48.3,327134.9299070777,4686695.5558292,19,T
1663939661.2376673,0,48461,0,GPS1_Frame,42.313328333333324,-71.097585,48.2,327134.12400584016,4686696.316429885,19,T
1663939662.2568786,0,48462,0,GPS1_Frame,42.31333500000001,-71.09759833333332,48.1,327133.04338692396,4686697.0838042125,19,T
1663939663.2594225,0,48463,0,GPS1_Frame,42.313340000000004,-71.09761,48.1,327132.09556396824,4686697.662721859,19,T
1663939664.2361834,0,48464,0,GPS1_Frame,42.31334666666667,-71.09762166666665,48.1,327131.15230437764,4686698.426709699,19,T
1663939665.2545729,0,48465,0,GPS1_Frame,42.31335000000001,-71.09763,47.4,327130.47463631246,4686698.813783905,19,T
1663939666.237739,0,48466,0,GPS1_Frame,42.31335666666667,-71.09764166666668,47.4,327129.53137704876,4686699.577771974,19,T
1663939667.2379704,0,48467,0,GPS1_Frame,42.313361666666665,-71.09765333333333,47.3,327128.58355471375,4686700.156690118,19,T
1663939668.2563443,0,48468,0,GPS1_Frame,42.31336666666666,-71.097665,47.2,327127.6357325278,4686700.735608394,19,T
1663939669.2577267,0,48469,0,GPS1_Frame,42.313373333333324,-71.097675,47.1,327126.82983267354,4686701.496209964,19,T
1663939670.2533212,0,48470,0,GPS1_Frame,42.313381666666665,-71.097685,47.1,327126.02849634417,4686702.441881696,19,T
1663939671.2350967,0,48471,0,GPS1_Frame,42.31338833333333,-71.09769666666666,46.8,327125.0852380502,4686703.205870396,19,T
1663939672.2543402,0,48472,0,GPS1_Frame,42.31339500000001,-71.09770666666667,46.6,327124.27933876094,4686703.966472281,19,T
1663939673.256361,0,48473,0,GPS1_Frame,42.31340166666667,-71.09772,46.3,327123.19872207707,4686704.733848198,19,T
1663939674.236273,0,48474,0,GPS1_Frame,42.313408333333335,-71.09773333333332,46.4,327122.1181056311,4686705.50122429,19,T
1663939675.2379482,0,48475,0,GPS1_Frame,42.31341666666667,-71.097745,46.3,327121.1794116517,4686706.450283607,19,T
1663939676.2558107,0,48476,0,GPS1_Frame,42.31342333333334,-71.097755,46.1,327120.3735131591,4686707.210885967,19,T
1663939677.2560837,0,48477,0,GPS1_Frame,42.31343166666667,-71.09776666666667,46.0,327119.43481965165,4686708.159945533,19,T
1663939678.254818,0,48478,0,GPS1_Frame,42.31343833333334,-71.09777666666668,45.7,327118.6289215501,4686708.920548106,19,T
1663939679.2536585,0,48479,0,GPS1_Frame,42.313448333333326,-71.09778833333333,45.7,327117.69479209435,4686710.054677983,19,T
1663939680.236658,0,48480,0,GPS1_Frame,42.313455000000005,-71.09779833333333,45.5,327116.888894402,4686710.815280773,19,T
1663939681.2365816,0,48481,0,GPS1_Frame,42.313463333333324,-71.09781,45.5,327115.9502018605,4686711.7643408375,19,T
1663939682.2515993,0,48482,0,GPS1_Frame,42.31347000000001,-71.09782,45.4,327115.1443045592,4686712.524943841,19,T
1663939683.2361348,0,48483,0,GPS1_Frame,42.31347833333333,-71.09783166666666,45.3,327114.2056124876,4686713.474004153,19,T
1663939684.2543309,0,48484,0,GPS1_Frame,42.31348500000001,-71.097845,45.1,327113.1249983655,4686714.241381711,19,T
1663939685.2560124,0,48485,0,GPS1_Frame,42.31349166666667,-71.09785666666667,45.0,327112.1817430676,4686715.005372247,19,T
1663939686.2573981,0,48486,0,GPS1_Frame,42.313498333333335,-71.09786666666668,44.9,327111.37584655057,4686715.765975709,19,T
1663939687.2384775,0,48487,0,GPS1_Frame,42.313505,-71.09787833333333,44.8,327110.43259165005,4686716.529966495,19,T
1663939688.236636,0,48488,0,GPS1_Frame,42.313509999999994,-71.09789,44.8,327109.48477314366,4686717.108887347,19,T
1663939689.2367141,0,48489,0,GPS1_Frame,42.31351500000001,-71.09790166666667,44.8,327108.53695479245,4686717.687808338,19,T
